algorithm,variant,distribution,dist_name,region_count,peer_count,round_index,command,params,comment,group,mean_ms,stdv_ms,median_ms
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-1,73.48,41.53,73.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-2,81.88,44.62,81.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-south-1,77.68,37.15,72.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-southeast-2,91.53,43.98,87.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-central-1,66.26,44.58,71.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-north-1,73.99,48.04,79.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-west-1,62.66,42.43,63.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),sa-east-1,102.43,45.13,106.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-east-1,57.99,29.2,56.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-west-1,64.76,29.97,67.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),all,75.26,43.15,74.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,2,collect,"1, threshold=67%, delay=(0.1,1)","Collect VOTE(PREPARE) from 67% of the network and then broadcast (PRECOMMIT, QC_PREPARE)",proposer,203.03,38.56,205.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",proposer,204.03,38.56,206.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",ap-northeast-1,277.36,60.57,262.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",ap-northeast-2,285.27,62.62,268.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",ap-south-1,281.39,62.33,274.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",ap-southeast-2,295.5,59.2,280.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",eu-central-1,271.18,70.4,235.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",eu-north-1,278.24,71.07,239.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",eu-west-1,267.01,70.52,233.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",sa-east-1,306.53,58.1,308.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",us-east-1,261.38,60.28,267.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",us-west-1,268.51,58.34,277.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",all,279.24,64.87,270.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,4,collect,"2, threshold=67%, delay=(0.1,1)","Collect VOTE(PRECOMMIT) from 67% of the network and then broadcast (COMMIT, QC_PRECOMMIT)",proposer,406.47,77.43,410.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",proposer,407.47,77.43,411.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",ap-northeast-1,480.66,92.32,474.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",ap-northeast-2,490.26,93.73,474.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",ap-south-1,484.46,96.96,475.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",ap-southeast-2,498.98,89.86,498.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",eu-central-1,474.49,104.62,438.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",eu-north-1,481.51,104.51,439.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",eu-west-1,470.21,105.08,450.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",sa-east-1,509.9,87.86,519.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",us-east-1,466.39,96.39,472.0
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",us-west-1,472.16,93.74,476.5
HotStuff,,"us-west-1:3,us-east-1:3,eu-west-1:3,ap-northeast-1:3,eu-north-1:3,ap-south-1:3,sa-east-1:3,eu-central-1:3,ap-northeast-2:3,ap-southeast-2:3",10region_alto,10,30,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",all,482.9,97.55,473.0
HotStuff,,us-east-1:5,1region_5peers,1,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,us-east-1:5,1region_5peers,1,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-east-1,2.12,1.82,2.0
HotStuff,,us-east-1:5,1region_5peers,1,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),all,2.12,1.82,2.0
HotStuff,,us-east-1:5,1region_5peers,1,5,2,collect,"1, threshold=67%, delay=(0.1,1)","Collect VOTE(PREPARE) from 67% of the network and then broadcast (PRECOMMIT, QC_PREPARE)",proposer,7.0,1.9,7.0
HotStuff,,us-east-1:5,1region_5peers,1,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",proposer,8.0,1.9,8.0
HotStuff,,us-east-1:5,1region_5peers,1,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",us-east-1,10.12,2.89,11.0
HotStuff,,us-east-1:5,1region_5peers,1,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",all,10.12,2.89,11.0
HotStuff,,us-east-1:5,1region_5peers,1,5,4,collect,"2, threshold=67%, delay=(0.1,1)","Collect VOTE(PRECOMMIT) from 67% of the network and then broadcast (COMMIT, QC_PRECOMMIT)",proposer,15.0,3.35,15.0
HotStuff,,us-east-1:5,1region_5peers,1,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",proposer,16.0,3.35,16.0
HotStuff,,us-east-1:5,1region_5peers,1,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",us-east-1,18.6,3.75,20.0
HotStuff,,us-east-1:5,1region_5peers,1,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",all,18.6,3.75,20.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-west-1,21.2,16.97,33.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-east-1,15.07,15.71,4.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),all,17.52,16.5,5.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,2,collect,"1, threshold=67%, delay=(0.1,1)","Collect VOTE(PREPARE) from 67% of the network and then broadcast (PRECOMMIT, QC_PREPARE)",proposer,68.8,2.14,69.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",proposer,69.8,2.14,70.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",eu-west-1,91.4,17.03,101.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",us-east-1,84.8,16.23,74.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",all,87.44,16.87,76.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,4,collect,"2, threshold=67%, delay=(0.1,1)","Collect VOTE(PRECOMMIT) from 67% of the network and then broadcast (COMMIT, QC_PRECOMMIT)",proposer,138.0,4.24,140.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",proposer,139.0,4.24,141.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",eu-west-1,158.7,17.44,165.5
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",us-east-1,154.33,16.02,146.0
HotStuff,,"us-east-1:3,eu-west-1:2",2region_5peers,2,5,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",all,156.08,16.74,147.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-1,57.83,42.43,70.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-west-1,45.33,41.57,34.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),us-east-1,37.67,30.2,36.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),all,46.94,39.36,36.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,2,collect,"1, threshold=67%, delay=(0.1,1)","Collect VOTE(PREPARE) from 67% of the network and then broadcast (PRECOMMIT, QC_PREPARE)",proposer,181.33,26.61,197.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",proposer,182.33,26.61,198.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",ap-northeast-1,240.67,45.16,219.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",eu-west-1,228.0,52.3,204.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",us-east-1,219.42,54.12,239.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,3,wait,"1, threshold=1, delay=(0.1,1)","Reply to proposer (PRECOMMIT, QC_PREPARE) with VOTE(PRECOMMIT)",all,229.36,51.42,219.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,4,collect,"2, threshold=67%, delay=(0.1,1)","Collect VOTE(PRECOMMIT) from 67% of the network and then broadcast (COMMIT, QC_PRECOMMIT)",proposer,365.0,48.21,395.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",proposer,366.0,48.21,396.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",ap-northeast-1,424.25,57.64,398.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",eu-west-1,410.58,68.45,404.5
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",us-east-1,402.42,74.35,438.0
HotStuff,,"us-east-1:2,eu-west-1:2,ap-northeast-1:2",3region_6peers,3,6,5,wait,"3, threshold=1, delay=(0.1,1)","Wait for proposer (COMMIT, QC_PRECOMMIT)",all,412.42,67.77,404.5
HotStuff,,"us-east-1:3,eu-west-1:3,ap-northeast-1:3,sa-east-1:3,eu-central-1:3",5region_15peers,5,15,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),proposer,0.0,0.0,0.0
HotStuff,,"us-east-1:3,eu-west-1:3,ap-northeast-1:3,sa-east-1:3,eu-central-1:3",5region_15peers,5,15,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),ap-northeast-1,83.89,45.04,101.0
HotStuff,,"us-east-1:3,eu-west-1:3,ap-northeast-1:3,sa-east-1:3,eu-central-1:3",5region_15peers,5,15,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-central-1,55.56,45.24,47.0
HotStuff,,"us-east-1:3,eu-west-1:3,ap-northeast-1:3,sa-east-1:3,eu-central-1:3",5region_15peers,5,15,1,wait,"0, threshold=1, delay=(0.1,1)",Reply to proposer PREPARE with VOTE(PREPARE),eu-west-1,47.53,40.13,34.0
